,affix,Derived Word,Source Word
0,ical,neuroanatomical,neuroanatomy
1,ical,biotechnological,biotechnology
3,ical,timbrical,timbre
4,ical,coprological,coprology
6,ical,anthropological,anthropology
8,ical,archaeological,archaeology
9,ical,atheistical,atheist
10,ical,biogeographical,biogeography
11,ical,botanical,botany
13,ical,bryological,bryology
15,ical,canonical,canon
16,ical,cardiological,cardiology
17,ical,codicological,codicology
18,ical,conchological,conchology
20,ical,deontological,deontology
22,ical,dialogical,dialogue
23,ical,dramaturgical,dramaturgy
24,ical,dynastical,dynasty
25,ical,ecological,ecology
26,ical,ethnomethodological,ethnomethodology
29,ical,glaciological,glaciology
31,ical,gynecological,gynecology
32,ical,hagiological,hagiology
34,ical,indexical,index
37,ical,logological,logology
42,ical,ludological,ludology
43,ical,martyrological,martyrology
46,ical,metallurgical,metallurgy
47,ical,meteorological,meteorology
48,ical,monarchical,monarch
50,ical,myrmecological,myrmecology
52,ical,narratological,narratology
53,ical,neuropathological,neuropathology
54,ical,nomological,nomology
55,ical,numerological,numerology
58,ical,onomasiological,onomasiology
59,ical,paleoecological,paleoecology
60,ical,paleolimnological,paleolimnology
63,ical,pathological,pathology
65,ical,petrological,petrology
66,ical,philological,philology
69,ical,physiognomical,physiognomy
70,ical,physiological,physiology
72,ical,physiopathological,physiopathology
73,ical,pneumatological,pneumatology
86,ical,psychological,psychology
88,ical,rheological,rheology
92,ical,sedimentological,sedimentology
93,ical,semasiological,semasiology
95,ical,semiological,semiology
96,ical,sociobiological,sociobiology
97,ical,soteriological,soteriology
98,ical,stereotypical,stereotype
100,ical,superhelical,superhelix
101,ical,technological,technology
102,ical,teleological,teleology
103,ical,theological,theology
104,ical,tribological,tribology
105,ical,typological,typology
106,ical,vexillological,vexillology
107,ical,zooarchaeological,zooarchaeology
110,ise,anglicise,anglicus
111,ise,brutalise,brutal
114,ise,canalise,canal
115,ise,gourmandise,gourmand
118,ise,internationalise,international
122,ise,neutralise,neutraliser
123,ise,popularise,popular
127,ise,publicise,public
128,ise,visualise,visual
131,ise,vitalise,vital
133,osis,cryptosporidiosis,cryptosporidium
134,osis,adenomatosis,adenomata
135,osis,chlamydiosis,chlamydia
136,osis,cryptococcosis,cryptococcus
137,osis,gangliosidosis,ganglioside
138,osis,glycogenosis,glycogen
139,osis,gummosis,gum
140,osis,mastocytosis,mastocyte
141,osis,mucopolysaccharidosis,mucopolysaccharide
142,osis,mycobacteriosis,mycobacterium
145,osis,papulosis,papule
146,osis,pneumonoultramicroscopicsilicovolcanoconiosis,ultra
148,osis,psittacosis,psittacus
149,osis,sarcoidosis,sarcoid
150,osis,talcosis,talc
151,osis,trichinosis,trichinosis
153,osis,tuberculosis,tuberculum
155,hood,fanhood,fan
159,hood,girlhood,girl
161,hood,arahanthood,arahant
163,hood,godparenthood,godparent
164,hood,adulthood,adult
165,hood,applehood,apple
167,hood,avatarhood,avatar
169,hood,babyhood,baby
170,hood,bachelorhood,bachelor
172,hood,bishophood,bishophood
174,hood,boyhood,boy
176,hood,cityhood,city
177,hood,couplehood,couple
179,hood,cousinhood,cousin
182,hood,doghood,dog
185,hood,elderhood,elder
189,hood,fatherhood,father
191,hood,kidulthood,kidult
194,hood,likelihood,likely
196,hood,manhood,manhode
200,hood,motherhood,mother
202,hood,nationhood,nation
204,hood,neighbourhood,neighbour
208,hood,orphanhood,orphan
214,hood,parenthood,parent
218,hood,peoplehood,people
219,hood,personhood,person
222,hood,prophethood,prophet
225,hood,provincehood,province
226,hood,puppyhood,puppy
228,hood,sagehood,sage
231,hood,sainthood,saint
233,hood,selfhood,self
237,hood,servanthood,servant
238,hood,siblinghood,sibling
240,hood,singlehood,single
242,hood,sisterhood,sister
246,hood,spinsterhood,spinster
248,hood,statehood,state
251,hood,studenthood,student
254,hood,subjecthood,subject
263,hood,teenhood,teen
265,hood,thinghood,thing
268,hood,victimhood,victim
270,hood,widowerhood,widower
272,hood,wifehood,wife
275,hood,womanhood,woman
277,wise,vectorwise,vector
278,wise,letterwise,letter
279,wise,agewise,age
280,wise,areawise,area
281,wise,blockwise,block
282,wise,careerwise,career
284,wise,casewise,case
285,wise,chevronwise,chevron
286,wise,chordwise,chord
289,wise,componentwise,component
291,wise,crabwise,crab
292,wise,dropwise,drop
294,wise,elementwise,element
295,wise,endwise,end
296,wise,entrywise,entry
297,wise,familywise,family
299,wise,fanwise,fan
300,wise,fesswise,fess
301,wise,listwise,list
305,wise,moneywise,money
314,wise,pairwise,pair
315,wise,palewise,pale
317,wise,pathwise,path
318,wise,phantomwise,phantom
319,wise,piecewise,piece
320,wise,pixelwise,pixel
322,wise,plotwise,plot
324,wise,rightwise,rightwise
329,wise,saleswise,sales
330,wise,stagewise,stage
331,wise,slantwise,slant
332,wise,spanwise,span
333,wise,stepwise,step
336,wise,storywise,story
337,wise,termwise,term
340,goer,beachgoer,beach
341,goer,churchgoer,church
342,goer,clubgoer,club
343,goer,concertgoer,concert
344,goer,partygoer,party
346,goer,racegoer,race
347,goer,theatergoer,theater
348,goer,theatregoer,theatre
349,ally,toxically,toxic
350,ally,vitriolically,vitriolic
351,ally,abiotically,abiotic
352,ally,acerbically,acerbic
353,ally,acrophonically,acrophonic
354,ally,acrostically,acrostic
355,ally,aerobically,aerobic
356,ally,aerodynamically,aerodynamic
357,ally,agonistically,agonistic
359,ally,algebraically,algebraic
360,ally,alphanumerically,alphanumeric
363,ally,anachronistically,anachronistic
364,ally,anaphorically,anaphoric
365,ally,anarchically,anarchic
366,ally,angelically,angelic
367,ally,anisotropically,anisotropic
369,ally,antagonistically,antagonistic
370,ally,anthropologically,anthropologic
371,ally,apathetically,apathetic
372,ally,aphoristically,aphoristic
374,ally,apologetically,apologetic
376,ally,aristocratically,aristocratic
377,ally,artistically,artistic
378,ally,asymmetrically,asymmetric
379,ally,athletically,athletic
380,ally,authentically,authentic
381,ally,autocatalytically,autocatalytic
382,ally,automatically,automatic
383,ally,biodynamically,biodynamic
384,ally,bureaucratically,bureaucratic
385,ally,calorically,caloric
386,ally,calorimetrically,calorimetric
388,ally,cannibalistically,cannibalistic
390,ally,capitalistically,capitalistic
391,ally,cartographically,cartographic
392,ally,catalytically,catalytic
393,ally,caustically,caustic
394,ally,chaotically,chaotic
395,ally,characteristically,characteristic
397,ally,chronically,chronic
398,ally,cinematically,cinematic
399,ally,cinematographically,cinematographic
400,ally,cladistically,cladistic
401,ally,climactically,climactic
402,ally,coloristically,coloristic
405,ally,congregationally,congregational
406,ally,cosmetically,cosmetic
407,ally,cytogenetically,cytogenetic
409,ally,deictically,deictic
410,ally,diachronically,diachronic
412,ally,didactically,didactic
413,ally,diffeomorphically,diffeomorphic
414,ally,dramatically,dramatic
415,ally,drastically,drastic
417,ally,dualistically,dualistic
418,ally,dynastically,dynastic
419,ally,eccentrically,eccentric
420,ally,economically,economic
421,ally,electrically,electric
423,ally,electrolytically,electrolytic
424,ally,electromagnetically,electromagnetic
425,ally,electronically,electronic
426,ally,electrophilically,electrophilic
427,ally,electrophoretically,electrophoretic
428,ally,electrostatically,electrostatic
430,ally,emblematically,emblematic
431,ally,emphatically,emphatic
432,ally,encyclopedically,encyclopedic
435,ally,energetically,energetic
436,ally,enigmatically,enigmatic
438,ally,enthusiastically,enthusiastic
439,ally,entropically,entropic
441,ally,ergonomically,ergonomic
443,ally,erotically,erotic
444,ally,etiologically,etiologic
446,ally,expressionistically,expressionistic
